Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
264310;98343;Epipactis helleborine × phyllanthes;skogsknipprot × kal knipprot;Hybrid;0;Skog (S) - Stor betydelse;NA;
264977;98344;Epipactis helleborine × purpurata;skogsknipprot × mångblommig knipprot;Hybrid;0;;NA;
264978;98345;Epipactis leptochila × phyllanthes;grön knipprot × kal knipprot;Hybrid;0;;NA;
620;98347;Epipogium aphyllum;skogsfru;Art;1940;Skog (S) - Stor betydelse;NT;"A2b; C2a(i)"
220787;98349;Goodyera repens;knärot;Art;95563;Skog (S) - Stor betydelse;VU;A2bc+4abc
219811;98351;Gymnadenia conopsea;brudsporre;Art;21145;Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
223614;98352;Gymnadenia conopsea subsp. conopsea;vanlig brudsporre;Underart;3310;Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;NE;
741;98353;Gymnadenia conopsea subsp. densiflora;praktsporre;Underart;1268;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse;NE;
1085;98354;Gymnadenia nigra;brunkulla;Art;0;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Har betydelse;EN;A2ab
742;98355;Gymnadenia odoratissima;luktsporre;Art;2023;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;"B2ab(iii,v); C2a(i)"
743;98356;Gymnadenia runei;brudkulla;Art;0;Fjäll (F) - Stor betydelse;NT;D2
223610;98357;Gymnadenia conopsea × odoratissima;brudsporre × luktsporre;Hybrid;5;Våtmark (V) - Stor betydelse;NA;
222495;98359;Hammarbya paludosa;myggblomster;Art;4720;Våtmark (V) - Stor betydelse;LC;
770;98361;Herminium monorchis;honungsblomster;Art;6788;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;VU;A2b
980;98363;Liparis loeselii;gulyxne;Art;9175;Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;VU;A3c
1056;98366;Malaxis monophyllos;knottblomster;Art;1881;Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse;VU;"B2ab(i,ii,iii,v); C2a(i)"
221119;98368;Neotinea ustulata;krutbrännare;Art;4124;Jordbrukslandskap (J) - Stor betydelse;LC;
221952;98370;Neottia cordata;spindelblomster;Art;21224;Skog (S) - Stor betydelse;LC;
219862;98371;Neottia nidus-avis;nästrot;Art;9706;Skog (S) - Stor betydelse;LC;
219847;98372;Neottia ovata;tvåblad;Art;22985;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;LC;
264979;98374;Ophrys apifera;biblomster;Art;1;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NA;
222118;98375;Ophrys insectifera;flugblomster;Art;6421;Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;LC;
219864;98377;Orchis mascula;Sankt Pers nycklar;Art;11825;Jordbrukslandskap (J) - Stor betydelse;LC;
219865;98378;Orchis militaris;johannesnycklar;Art;4400;Jordbrukslandskap (J) - Stor betydelse;LC;
264980;98379;Orchis purpurea;stornycklar;Art;0;;NA;
