Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
1477;101212;Sedum anglicum;engelsk fetknopp;Art;1008;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B1a+2a
223400;101213;Sedum annuum;liten fetknopp;Art;10918;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
223408;101222;Sedum sexangulare;kantig fetknopp;Art;4535;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
220832;101237;Myriophyllum alterniflorum;hårslinga;Art;13434;Sötvatten (L) - Stor betydelse, Brackvatten (B) - Har betydelse;LC;
223346;101245;Myriophyllum sibiricum;knoppslinga;Art;8141;Brackvatten (B) - Stor betydelse, Sötvatten (L) - Stor betydelse;LC;
223347;101248;Myriophyllum spicatum;axslinga;Art;26189;Brackvatten (B) - Stor betydelse, Sötvatten (L) - Stor betydelse;LC;
223348;101251;Myriophyllum verticillatum;kransslinga;Art;3984;Sötvatten (L) - Stor betydelse, Brackvatten (B) - Har betydelse;LC;
221165;101304;Astragalus alpinus;fjällvedel;Art;4857;Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;LC;
114;101307;Astragalus arenarius;sandvedel;Art;704;Jordbrukslandskap (J) - Stor betydelse;EN;B1ab(ii,iii,v)+2ab(ii,iii,v)
221171;101313;Astragalus frigidus;isvedel;Art;1011;Fjäll (F) - Stor betydelse, Skog (S) - Har betydelse;LC;
221173;101316;Astragalus norvegicus;vippvedel;Art;620;Fjäll (F) - Stor betydelse;LC;
692;101364;Genista pilosa;hårginst;Art;3925;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii,v)
776;101380;Hippocrepis emerus;gulkronill;Art;1347;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B1ab(iii,v)+2ab(iii,v)
221220;101406;Lathyrus japonicus;strandvial;Art;4164;Havsstrand (H) - Stor betydelse;LC;
221222;101416;Lathyrus linifolius;gökärt;Art;51560;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse;LC;
221223;101419;Lathyrus niger;vippärt;Art;8546;Skog (S) - Stor betydelse;NT;A2b
221227;101423;Lathyrus palustris;kärrvial;Art;5524;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse, Sötvatten (L) - Har betydelse;LC;
221235;101435;Lathyrus vernus;vårärt;Art;18004;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;LC;
221239;101444;Lotus corniculatus;käringtand;Art;49951;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse, Havsstrand (H) - Har betydelse;LC;
221306;101452;Lotus maritimus;klöverärt;Art;3671;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
999;101458;Lotus tenuis;smal käringtand;Art;1708;Havsstrand (H) - Stor betydelse;VU;B2ab(v)
1023;101488;Medicago minima;sandlusern;Art;1060;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;B2ab(iii,iv,v)
221295;101552;Oxytropis campestris;fältvedel;Art;2463;Jordbrukslandskap (J) - Stor betydelse;LC;
220834;101558;Oxytropis lapponica;lappvedel;Art;619;Fjäll (F) - Stor betydelse;LC;
221324;101620;Trifolium fragiferum;smultronklöver;Art;5447;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse;LC;
221333;101634;Trifolium montanum;backklöver;Art;9382;Jordbrukslandskap (J) - Stor betydelse;NT;A2bc+4abc
220853;101747;Polygala amarella;rosettjungfrulin;Art;9341;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
222133;101750;Polygala vulgaris;jungfrulin;Art;32585;Jordbrukslandskap (J) - Stor betydelse;LC;
222934;101772;Alchemilla alpina;fjällkåpa;Art;2635;Fjäll (F) - Stor betydelse;LC;
222943;101795;Alchemilla glaucescens;sammetsdaggkåpa;Art;17132;Jordbrukslandskap (J) - Stor betydelse;LC;
224945;101841;Argentina anserina subsp. groenlandica;grönlandsgåsört;Underart;806;Havsstrand (H) - Stor betydelse;LC;
221186;101857;Comarum palustre;kråkklöver;Art;52070;Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;LC;
1873;101864;Cotoneaster canescens;alvaroxbär;Art;1546;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse;LC;
223005;101876;Cotoneaster integerrimus;rött oxbär;Art;5762;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse;LC;
223003;101887;Cotoneaster niger;svartoxbär;Art;2110;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse;LC;
219668;101938;Dryas octopetala;fjällsippa;Art;2676;Fjäll (F) - Stor betydelse;LC;
1879;101941;Drymocallis rupestris;trollsmultron;Art;3677;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;"B2ab(iii,v); C1+2a(i)"
223027;101953;Filipendula vulgaris;brudbröd;Art;38070;Jordbrukslandskap (J) - Stor betydelse;LC;
223032;101963;Fragaria viridis;backsmultron;Art;8224;Jordbrukslandskap (J) - Stor betydelse;LC;
223037;101980;Geum rivale;humleblomster;Art;47232;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
223056;102041;Potentilla crantzii;vårfingerört;Art;9135;Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse;LC;
223057;102043;Potentilla erecta;blodrot;Art;76597;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
1286;102044;Potentilla heptaphylla;luddfingerört;Art;1111;Jordbrukslandskap (J) - Stor betydelse;NT;B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)
1909;102076;Potentilla sterneri;backfingerört;Art;1253;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii,v)
223073;102087;Potentilla verna;småfingerört;Art;7993;Jordbrukslandskap (J) - Stor betydelse;LC;
223185;102250;Rubus saxatilis;stenbär;Art;51314;Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
223205;102467;Sibbaldia procumbens;dvärgfingerört;Art;1657;Fjäll (F) - Stor betydelse;LC;
221206;102569;Hippophaë rhamnoides;havtorn;Art;4684;Havsstrand (H) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
225051;102621;Urtica dioica subsp. sondenii;fjällnässla;Underart;236;Fjäll (F) - Stor betydelse, Skog (S) - Stor betydelse;LC;
221929;102779;Parnassia palustris;slåtterblomma;Art;31156;Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse, Havsstrand (H) - Har betydelse, Urban miljö (U) - Har betydelse;LC;
576;102829;Elatine hexandra;skaftslamkrypa;Art;1193;Sötvatten (L) - Stor betydelse, Våtmark (V) - Har betydelse;VU;"A2b; B2ab(i,ii,iii,iv,v)"
221524;102830;Elatine hydropiper;korsslamkrypa;Art;2085;Havsstrand (H) - Stor betydelse, Sötvatten (L) - Stor betydelse, Brackvatten (B) - Har betydelse;LC;
577;102833;Elatine orthosperma;nordslamkrypa;Art;628;Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse, Brackvatten (B) - Har betydelse, Havsstrand (H) - Har betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(ii,iii)
221526;102834;Elatine triandra;tretalig slamkrypa;Art;1283;Sötvatten (L) - Stor betydelse, Brackvatten (B) - Har betydelse, Havsstrand (H) - Har betydelse;LC;
221994;102841;Viola biflora;fjällviol;Art;4850;Fjäll (F) - Stor betydelse, Skog (S) - Har betydelse;LC;
224375;102843;Viola canina subsp. canina;äkta ängsviol;Underart;18749;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NE;
224382;102844;Viola canina subsp. montana;norrlandsviol;Underart;5387;Jordbrukslandskap (J) - Stor betydelse;LC;
221999;102849;Viola epipsila;mossviol;Art;10597;Våtmark (V) - Stor betydelse, Fjäll (F) - Har betydelse;LC;
222002;102853;Viola mirabilis;underviol;Art;11944;Skog (S) - Stor betydelse;LC;
222004;102855;Viola palustris;kärrviol;Art;39201;Våtmark (V) - Stor betydelse;LC;
