Dyntaxa ID number,Establishment,Växtsätt,kontroll,Växtnamn,Medelhöjd (cm),Maxhöjd (cm),Blomningsstart,Blomningsslut,Phenology,Börjar Blomma,Extreme phenology,Sena,Blommande?,Blomfärg
1035,Resident,Ört,#REF!,Melilotus dentatus (Waldst. & Kit.) Pers.,30,100,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Gul
221280,Resident,Ört,#REF!,Melilotus officinalis (L.) Lam.,30,150,Juli,Augusti,9,9. S Jun,2,07-jul,Ja,Gul
221285,Resident,Ört,#REF!,Melilotus wolgicus Poir.,30,100,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Gul
221286,Non-resident,Ört,#REF!,Melissa officinalis L.,30,80,Juni,Augusti,11,11. S Jul,4,06-aug,Ja,Vit
1038,Resident,Ört,#REF!,Mentha × gracilis Sole,20,60,Juni,Augusti,13,13. S Aug,6,05-sep,Ja,Rosa
221709,Non-resident,Ört,#REF!,Mentha × piperita L.,30,100,Juni,Augusti,13,13. S Aug,6,05-sep,Ja,Rosa
224286,Non-resident,Ört,#REF!,Mentha × rotundifolia (L.) Huds.,20,60,Juli,Augusti,12,12. B Aug,5,21-aug,Ja,Grön
221710,Resident,Ört,#REF!,Mentha × verticillata L.,50,150,Juli,Augusti,11,11. S Jul,4,06-aug,Ja,Lila
224288,Resident,Ört,#REF!,Mentha × villosa Huds.,50,150,Juli,September, ,Ingen data, ,Ingen data,Ja,Lila
221711,Resident,Vattenväxt,#REF!,Mentha aquatica L.,20,80,Juli,Augusti,11,11. S Jul,4,06-aug,Ja,Blå
221712,Resident,Ört,#REF!,Mentha arvensis L.,10,60,Juli,Augusti,10,10. B Jul,3,22-jul,Ja,Vit
221713,Resident,Ört,#REF!,Mentha longifolia (L.) Huds.,50,150,Juli,September,12,12. B Aug,5,21-aug,Ja,Lila
221715,Resident,Ört,#REF!,Mentha spicata L.,50,150,Juli,September,12,12. B Aug,5,21-aug,Ja,Lila
1037,Resident,Ört,#REF!,Mentha suaveolens Ehrh.,30,100,Juli,September,12,12. B Aug,5,21-aug,Ja,Vit
221717,Resident,Vattenväxt,#REF!,Menyanthes trifoliata L.,10,50,Maj,Juni,6,6.B Maj,3,22-jul,Ja,Vit
220252,Resident,Ört,#REF!,Mercurialis annua L.,10,40,Maj,Augusti,9,9. S Jun,2,07-jul,Ja,Grön
221987,Resident,Ört,#REF!,Mercurialis perennis L.,20,60,Maj,Juni,3,3. S Mar,6,05-sep,Ja,Grön
1039,Resident,Ört,#REF!,Mertensia maritima (L.) Gray,10,30,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Blå
266204,Resident,Ört,#REF!,Mertensia sibirica G. Don,30,100,Maj,Juni, ,Ingen data, ,Ingen data,Ja,Blå
220817,Resident,Ört,#REF!,Meum athamanticum Jacq.,30,60,Maj,Juni, ,Ingen data, ,Ingen data,Ja,Vit
223382,Resident,Ört,#REF!,Micranthes foliolosa (R. Br.) Gornall,5,20,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Vit
223387,Resident,Ört,#REF!,Micranthes nivalis (L.) Small,5,10,Juni,Juli, ,Ingen data, ,Ingen data,Ja,Vit
223393,Resident,Ört,#REF!,"Micranthes stellaris (L.) Galasso, Banfi & Soldano",10,30,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Vit
223394,Resident,Ört,#REF!,Micranthes tenuis (Wahlenb.) Small,10,30,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Vit
219851,Resident,Gräs,#REF!,Milium effusum L.,50,150,Juni,Juli,7,7.S Maj,2,07-jul,Ja,Grön
222588,Resident,Gräs,#REF!,Milium vernale M. Bieb.,10,30,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Grön
1060,Resident,Ört,#REF!,Misopates orontium (L.) Raf.,10,40,Juli,September,10,10. B Jul,3,22-jul,Ja,Rosa
1062,Resident,Ört,#REF!,Moehringia lateriflora (L.) Fenzl,10,30,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Vit
220823,Resident,Ört,#REF!,Moehringia trinervia (L.) Clairv.,10,40,Maj,Augusti,5,5. S Apr,4,06-aug,Ja,Vit
220825,Resident,Gräs,#REF!,Molinia caerulea (L.) Moench,30,150,Juli,Augusti,11,11. S Jul,4,06-aug,Ja,Lila
