_id,Damage,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,HOSTS ID,Insect Author,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Lab Rearing,Location
99940,,Hydrocharitaceae,Elodea,,,99940,Olivier,Pyralidae,Acentria,nivea,,,Nearctic
99506,on,Compositae,Eupatorium,purpureum,,99506,Fernald,Pterophoridae,Oidaematophorus,eupatorii,,,Nearctic
100276,,Juglandaceae,Carya,,,100276,Dyar,Pyralidae,Acrobasis,peplifera,,,Nearctic
99512,,Compositae,Artemisia,,,99512,Walsingham,Pterophoridae,Oidaematophorus,grisescens,,,Nearctic
100799,,Fungi,Daldinia,,,100799,Hulst,Pyralidae,Apomyelois,bistriatella,,,Nearctic
100278,,Rosaceae,Pyrus,,,100278,Matsumura,Pyralidae,Acrobasis,pirivorella,,,Russia
99514,on leaves,Compositae,Artemisia,tridentata,,99514,Walsingham,Pterophoridae,Oidaematophorus,grisescens,,,Nearctic
99953,on crude sugar,Detritophagous,,,,99953,Fabricius,Pyralidae,Achroia,grisella,,,Nearctic
101167,,Palmae,Phoenix,dactylifera,,101167,Walker,Pyralidae,Cadra,cautella,,,Nearctic
100281,on,Fagaceae,Quercus,,,100281,Fabricius,Pyralidae,Acrobasis,repandana,,,British Isles
99518,,Compositae,Ambrosia,,,99518,Zeller,Pterophoridae,Oidaematophorus,inquinatus,,,Nearctic
100289,,Myricaceae,Comptonia,peregrina,,100289,Packard,Pyralidae,Acrobasis,rubrifasciella,,,Nearctic
100290,,Corylaceae,Corylus,,,100290,Packard,Pyralidae,Acrobasis,rubrifasciella,,,Nearctic
99536,in/on leaves/shoots,Compositae,Inula,conyzae,,99536,Treitschke,Pterophoridae,Oidaematophorus,lithodactyla,,,British Isles
100815,on fruits,Palmae,Phoenix,dactylifera,,100815,Hampson,Pyralidae,Arenipses,sabella,,,British Isles
100295,,Corylaceae,Corylus,,,100295,Ely,Pyralidae,Acrobasis,secundella,,,Nearctic
100296,,Fagaceae,Quercus,pubescens,,100296,Zeller,Pyralidae,Acrobasis,sodalella,,,Europe
100299,on leaves,Fagaceae,Quercus,robur,,100299,Zeller,Pyralidae,Acrobasis,sodalella,,,British Isles
99540,,Compositae,Acourtia,,,99540,Walsingham,Pterophoridae,Oidaematophorus,longifrons,,,Nearctic
99544,,Compositae,Aster,conspicuus,,99544,Walsingham,Pterophoridae,Oidaematophorus,occidentalis,,,Nearctic
100314,,Rosaceae,Amelanchier,,,100314,Grote,Pyralidae,Acrobasis,tricolorella,,,Nearctic
99549,,Compositae,Wyethia,amplexicaulis,,99549,Walsingham,Pterophoridae,Oidaematophorus,occidentalis,,,Nearctic
100834,,Nyctaginaceae,Bougainvillea,,,100834,Guenée,Pyralidae,Asciodes,gordialis,,,Nearctic
100330,in buds/fruits/on leaves,Rosaceae,Prunus,domestica,,100330,Grote,Pyralidae,Acrobasis,tricolorella,,,Nearctic
99555,,Hydrophyllaceae,Hydrophyllum,virginianum,,99555,McDunnough,Pterophoridae,Oidaematophorus,phaceliae,,,Nearctic
100331,in galls,Fungi,Dibotryon,morbosum,,100331,Grote,Pyralidae,Acrobasis,tricolorella,,,Nearctic
99565,,Compositae,,,,99565,Walsingham,Pterophoridae,Oidaematophorus,stramineus,,,Nearctic
99571,on,Compositae,Leucanthemum,vulgare,,99571,Zeller,Pterophoridae,Ovendenia,lienigianus,,,British Isles
100343,,Ericaceae,Vaccinium,macrocarpon,,100343,Riley,Pyralidae,Acrobasis,vaccinii,,,Nearctic
101235,on seeds,Detritophagous,,,,101235,Walker,Pyralidae,Cadra,cautella,,,Nearctic
99590,on heads,Compositae,Hieracium,cynoglossoides,,99590,Zeller,Pterophoridae,Oxyptilus,delawaricus,,,Nearctic
99593,on,Compositae,Hieracium,pilosella,,99593,Zeller,Pterophoridae,Oxyptilus,distans,,,British Isles
99601,on,Compositae,Hieracium,pilosella,,99601,Zeller,Pterophoridae,Oxyptilus,pilosellae,,,Europe
100025,on leaves,Rosaceae,Fragaria,X ananassa,,100025,Guenée,Pyralidae,Achyra,rantalis,,,Nearctic
100038,,Leguminosae (P),Medicago,sativa,,100038,Guenée,Pyralidae,Achyra,similalis,,,Nearctic
101278,,Rosaceae,Prunus,armeniaca,,101278,Gregson,Pyralidae,Cadra,figulilella,,,Nearctic
100041,,Chenopodiaceae,Spinacia,oleracea,,100041,Guenée,Pyralidae,Achyra,similalis,,,Nearctic
100044,,Juglandaceae,Carya,alba,,100044,Neunzig,Pyralidae,Acrobasis,alyi,,,Nearctic
100053,,Juglandaceae,Carya,ovalis,,100053,Grote,Pyralidae,Acrobasis,angusella,,,Nearctic
100056,in branches,Juglandaceae,Carya,porcina,,100056,Grote,Pyralidae,Acrobasis,angusella,,,Nearctic
100394,,Leguminosae (P),Erythrina,herbacea,,100394,Guenée,Pyralidae,Agathodes,designalis,,,Nearctic
99635,in stems,Compositae,Senecio,vernalis,,99635,Zeller,Pterophoridae,Platyptilia,farfarellus,,,Europe
100065,,Betulaceae,Betula,papyrifera,,100065,Hulst,Pyralidae,Acrobasis,betulella,,,Nearctic
99644,in stems,Compositae,Senecio,aquaticus,,99644,Zeller,Pterophoridae,Platyptilia,isodactyla,,,Europe
100068,,Betulaceae,Betula,populifolia,,100068,Hulst,Pyralidae,Acrobasis,betulella,,,Nearctic
101317,,Juglandaceae,Carya,,,101317,Clemens,Pyralidae,Canarsia,ulmiarrosorella,,,Nearctic
99645,in flowers/leaves/stems,Compositae,Senecio,aquaticus,,99645,Zeller,Pterophoridae,Platyptilia,isodactylus,,,British Isles
101318,,Ulmaceae,Ulmus,,,101318,Clemens,Pyralidae,Canarsia,ulmiarrosorella,,,Nearctic
99690,on,Compositae,Mycelis,muralis,,99690,Müller,Pterophoridae,Pselnophorus,heterodactyla,,,British Isles
100102,on leaves/stems/nuts,Juglandaceae,Carya,illinoinensis,,100102,Grote,Pyralidae,Acrobasis,caryae,,,Nearctic
99696,,Convolvulaceae,,,,99696,,Pterophoridae,Pterophorus,,,,Europe
100107,,Juglandaceae,Carya,,,100107,Ragonot,Pyralidae,Acrobasis,caryivorella,,,Nearctic
101357,on,Musci,,,,101357,Lattin,Pyralidae,Catoptria,osthelderi,,,British Isles
100970,,Chenopodiaceae,Chenopodium,,,100970,Guenée,Pyralidae,Blepharomastix,ranalis,,,Nearctic
99697,on,Compositae,Picnomon,acarna,,99697,Walsingham,Pterophoridae,Pterophorus,acarnella,,,Europe
101358,on,Musci,,,,101358,Herrich-Schäffer,Pyralidae,Catoptria,permutatellus,,,British Isles
100113,,Juglandaceae,Juglans,,,100113,Ragonot,Pyralidae,Acrobasis,caryivorella,,,Nearctic
101368,,Convolvulaceae,Cuscuta,compacta,,101368,Dyar,Pyralidae,Caudellia,apyrella,,,Nearctic
100463,on stems,Gramineae,,,,100463,Haworth,Pyralidae,Agriphila,latistria,,,British Isles
